,Estacao,Num_lab,Cu_ppm,Zn_ppm,Long (X) 4326,Lat (Y) 4326
0,JA-S-501,GIC745,17.0,18.0,-48.89965631814774,-13.022219611003537
1,JA-S-502,GIC746,26.2,23.0,-48.918092852503676,-13.069235720789093
2,JA-S-503,GIC747,8.3,10.0,-48.9720004008647,-13.10464883000936
3,JA-S-504,GIC748,19.5,16.0,-48.91670811347945,-13.116624947682467
4,JA-S-505,GIC749,14.8,16.0,-48.930110182743505,-13.17761725097398
5,JA-S-506,GIC750,13.2,16.0,-48.84669479560956,-13.072563466344418
6,JA-S-507,GIC751,24.7,21.0,-48.84756756652126,-13.089903506480182
7,JA-S-508,GIC752,13.9,12.0,-48.82527880301346,-13.094849449352292
8,JA-S-509,GIC753,5.3,6.0,-48.83624607490605,-13.002024775510474
9,JA-S-510,GIC754,6.1,6.0,-48.97253926420645,-13.195046176628079
10,JA-S-511,GIC755,12.7,6.0,-48.97210289673442,-13.207686140745405
11,JA-S-512,GIC756,8.6,10.0,-48.91594346799131,-13.179870227330847
12,JA-S-513,GIC757,6.9,10.0,-48.75813831789393,-13.132408035499331
13,JA-S-514,GIC758,10.2,11.0,-48.8017972117842,-13.14989122485438
14,JA-S-515,GIC759,8.9,12.0,-48.85935609528618,-13.173213633859273
15,JA-S-516,GIC760,27.5,25.0,-48.86619725222733,-13.187241749464054
16,JA-S-517,GIC761,10.5,13.0,-48.81786634857006,-13.231313083339996
17,JA-S-518,GIC762,10.1,16.0,-48.81994453882559,-13.224779253905517
18,JA-S-519,GIC763,18.6,17.0,-48.77341720650818,-13.218956201332706
19,JA-S-520,GIC764,13.4,16.0,-48.73355895714142,-13.238368027623753
20,JA-S-521,GIC765,45.4,35.0,-48.72223876510698,-13.253502142171568
21,JA-S-522,GIC766,8.5,9.0,-48.6895013967109,-13.207521943478392
22,JA-S-523,GIC767,29.2,13.0,-48.99738828222886,-13.402861014857423
23,JA-S-524,GIC768,34.9,31.0,-48.9898400619498,-13.40802464456939
24,JA-S-525,GIC769,22.6,27.0,-48.93365365077412,-13.442851704757226
25,JA-S-526,GIC770,23.3,24.0,-48.92783628592845,-13.414969597867877
26,JA-S-527,GIC771,10.3,20.0,-48.933304994784145,-13.395114680647989
27,JA-S-528,GIC772,5.7,5.0,-48.97765198476677,-13.33746270530339
28,JA-S-529,GIC773,11.1,6.0,-48.851528471440446,-13.474018383017361
29,JA-S-530,GIC774,15.7,15.0,-48.832055493153206,-13.474980610024508
30,JA-S-531,GIC775,13.1,9.0,-48.832411162880796,-13.435457648337248
31,JA-S-532,GIC776,22.7,24.0,-48.88909048539647,-13.320664048391171
32,JA-S-533,GIC777,20.3,27.0,-48.89818919110967,-13.34522985260539
33,JA-S-534,GIC778,30.6,35.0,-48.85955136317134,-13.373119270386248
34,JA-S-535,GIC779,23.8,24.0,-48.7915732205044,-13.399680147294845
35,JA-S-536,GIC780,9.4,14.0,-48.77739650846361,-13.45370126232787
36,JA-S-537,GIC781,18.7,16.0,-48.775314775853566,-13.449182788054157
37,JA-S-538,GIC782,10.5,15.0,-48.70454992469156,-13.44933314351072
38,JA-S-539,GIC783,15.1,13.0,-48.66975350739216,-13.443817688878028
39,JA-S-540,GIC784,13.6,13.0,-48.669624892979236,-13.449481873737886
40,JA-S-541,GIC785,6.7,10.0,-48.66513680421145,-13.39331063226361
41,JA-S-542,GIC786,13.8,10.0,-48.847203924046255,-13.28844862633998
42,JA-S-543,GIC787,20.8,14.0,-48.76509903296119,-13.352810953221683
43,JA-S-544,GIC788,4.8,9.0,-48.730308057046344,-13.341947366298085
44,JA-S-545,GIC789,21.0,36.0,-48.732104566697494,-13.350168231142366
45,JA-S-546,GIC790,21.6,43.0,-48.5044431267362,-13.394113680026846
46,JA-S-547,GIC791,3.3,18.0,-48.51358384531279,-13.428662508096346
47,JA-S-548,GIC792,12.3,11.0,-48.51751170251428,-13.31824148373366
48,JA-S-549,GIC793,15.2,15.0,-48.66429141596823,-13.387185651861477
49,JA-S-550,GIC794,4.2,11.0,-48.686946838609536,-13.340986051198312
50,JA-S-551,GIC795,15.8,22.0,-48.64162829541622,-13.298399241010586
51,JA-S-552,GIC796,16.2,22.0,-48.641971399742204,-13.297263936710777
52,JA-S-553,GIC797,4.4,18.0,-48.58875787545983,-13.230020835764607
53,JA-S-554,GIC798,9.4,10.0,-48.57377276086942,-13.141026014991601
54,JA-S-555,GIC799,6.5,14.0,-48.601554732717574,-13.09215184662367
55,JA-S-556,GIC800,16.8,23.0,-48.57624019521019,-13.096225029969137
56,JA-S-557,GIC801,5.6,12.0,-48.57508686147984,-13.123618331827663
57,JA-S-558,GIC802,5.7,21.0,-48.58856841860188,-13.158151796347788
58,JA-S-559,GIC803,19.3,21.0,-48.58759103365682,-13.077835997512466
59,JA-S-560,GIC804,13.9,15.0,-48.60100198379072,-13.05684499501302
60,JA-S-561,GIC805,11.6,13.0,-48.61039049754052,-13.071524379436713
61,JA-S-562,GIC806,5.6,13.0,-48.634639869152856,-13.00663618922317
62,JA-S-563,GIC807,19.7,20.0,-48.642455277182854,-13.013321513485545
63,JA-S-564,GIC808,31.9,21.0,-48.711377580559564,-13.018149749469151
64,JA-S-565,GIC809,23.8,65.0,-48.67386182982484,-13.115503373347165
