,Estacao,N. Lab.,Long (X) 4326,Lat (Y) 4326,Laboratorio,Cod análise,Tipo de amostra,As (PPM),Bi (PPM)
0,AF-0001,CCG 526,-44.83379619,-19.73237593,Acme,ICP14B/1F04,Sed. Cor.,87.1,0.23
1,AF-0002,CCG 527,-44.84385986,-19.72762252,Acme,ICP14B/1F04,Sed. Cor.,8.2,0.3
2,AF-0003,CCG 528,-44.84709828,-19.72425453,Acme,ICP14B/1F04,Sed. Cor.,39.5,0.22
3,AF-0004,CCG 529,-44.91765456,-19.69938589,Acme,ICP14B/1F04,Sed. Cor.,33.4,0.37
4,AF-0005,CCG 530,-44.92843159,-19.68951308,Acme,ICP14B/1F04,Sed. Cor.,34.2,0.46
5,AF-0006,CCG 531,-44.7707429,-19.88438713,Acme,ICP14B/1F04,Sed. Cor.,2.4,0.1
6,AF-0007,CCG 532,-44.87461237,-19.89359964,Acme,ICP14B/1F04,Sed. Cor.,1.7,0.11
7,AF-0008,CCG 533,-44.9320301,-19.70859156,Acme,ICP14B/1F04,Sed. Cor.,23.8,0.22
8,AF-0009,CCG 534,-44.92922981,-19.69688758,Acme,ICP14B/1F04,Sed. Cor.,19.3,0.18
9,AF-0010A,CCG 535,-44.99872114,-19.73307655,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.39
10,AF-0010B,CCH135,-44.99872114,-19.73307655,Acme,ICP14B/1F04,Sed. Cor.,0.5,0.37
11,AF-0011,CCG 536,-44.97404397,-19.71437719,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.2
12,AF-0012,CCG 537,-44.96547377,-19.71852371,Acme,ICP14B/1F04,Sed. Cor.,2.4,0.61
13,AF-0013,CCG 538,-44.94884941,-19.69046894,Acme,ICP14B/1F04,Sed. Cor.,1.8,0.09
14,AF-0014,CCG 539,-44.97109222,-19.6783372,Acme,ICP14B/1F04,Sed. Cor.,3.2,0.18
15,AF-0015,CCG 540,-44.99035188,-19.5628726,Acme,ICP14B/1F04,Sed. Cor.,23.1,0.22
16,AF-0016,CCG 541,-44.9811402,-19.6628039,Acme,ICP14B/1F04,Sed. Cor.,1.3,0.31
17,AF-0017,CCG 542,-44.98983492,-19.59708708,Acme,ICP14B/1F04,Sed. Cor.,24.7,0.62
18,AF-0018,CCG 543,-44.98327048,-19.63439164,Acme,ICP14B/1F04,Sed. Cor.,21.8,0.08
19,AF-0019,CCG 544,-44.97058952,-19.66216085,Acme,ICP14B/1F04,Sed. Cor.,49,0.18
20,AF-0020A,CCG 545,-44.92738185,-19.66881791,Acme,ICP14B/1F04,Sed. Cor.,21.2,0.47
21,AF-0020B,CCH136,-44.92738185,-19.66881791,Acme,ICP14B/1F04,Sed. Cor.,21.9,0.47
22,AF-0021,CCG 546,-44.93234775,-19.61102793,Acme,ICP14B/1F04,Sed. Cor.,22,0.47
23,AF-0022,CCG 547,-44.99089652,-19.54119253,Acme,ICP14B/1F04,Sed. Cor.,7.1,0.17
