Estacao,Num_lab,Cu_ppm,Zn_ppm,Long (X) 4326,Lat (Y) 4326
JA-S-501,GIC745,17,18,-48.89965632,-13.02221961
JA-S-502,GIC746,26.2,23,-48.91809285,-13.06923572
JA-S-503,GIC747,8.3,10,-48.9720004,-13.10464883
JA-S-504,GIC748,19.5,16,-48.91670811,-13.11662495
JA-S-505,GIC749,14.8,16,-48.93011018,-13.17761725
JA-S-506,GIC750,13.2,16,-48.8466948,-13.07256347
JA-S-507,GIC751,24.7,21,-48.84756757,-13.08990351
JA-S-508,GIC752,13.9,12,-48.8252788,-13.09484945
JA-S-509,GIC753,5.3,6,-48.83624607,-13.00202478
JA-S-510,GIC754,6.1,6,-48.97253926,-13.19504618
JA-S-511,GIC755,12.7,6,-48.9721029,-13.20768614
JA-S-512,GIC756,8.6,10,-48.91594347,-13.17987023
JA-S-513,GIC757,6.9,10,-48.75813832,-13.13240804
JA-S-514,GIC758,10.2,11,-48.80179721,-13.14989122
JA-S-515,GIC759,8.9,12,-48.8593561,-13.17321363
JA-S-516,GIC760,27.5,25,-48.86619725,-13.18724175
JA-S-517,GIC761,10.5,13,-48.81786635,-13.23131308
JA-S-518,GIC762,10.1,16,-48.81994454,-13.22477925
JA-S-519,GIC763,18.6,17,-48.77341721,-13.2189562
JA-S-520,GIC764,13.4,16,-48.73355896,-13.23836803
JA-S-521,GIC765,45.4,35,-48.72223877,-13.25350214
JA-S-522,GIC766,8.5,9,-48.6895014,-13.20752194
JA-S-523,GIC767,29.2,13,-48.99738828,-13.40286101
JA-S-524,GIC768,34.9,31,-48.98984006,-13.40802464
JA-S-525,GIC769,22.6,27,-48.93365365,-13.4428517
JA-S-526,GIC770,23.3,24,-48.92783629,-13.4149696
JA-S-527,GIC771,10.3,20,-48.93330499,-13.39511468
JA-S-528,GIC772,5.7,5,-48.97765198,-13.33746271
JA-S-529,GIC773,11.1,6,-48.85152847,-13.47401838
JA-S-530,GIC774,15.7,15,-48.83205549,-13.47498061
JA-S-531,GIC775,13.1,9,-48.83241116,-13.43545765
JA-S-532,GIC776,22.7,24,-48.88909049,-13.32066405
