num_lab,num_campo,classe,tipo_mat_c,cr_ahp,ni_a_nsp,Lat,Long
GCT225,3060001,Sedimento de corrente,Gnaisse,4,1,-13.4949999999999,-49.0319444439999
GCT226,3060010,Sedimento de corrente,Gnaisse,8,2,-13.4272222219999,-49.0897222219999
GCT228,3060012,Sedimento de corrente,Gnaisse,8,2,-13.428611111,-49.085
GCT229,3060013,Sedimento de corrente,Gnaisse,8,2,-13.451944445,-49.1
GCT230,3060015,Sedimento de corrente,Gnaisse,8,2,-13.494722222,-49.0922222219999
GCT231,3060020,Sedimento de corrente,Xisto,8,2,-13.475277778,-49.190833333
GCT233,3060025,Sedimento de corrente,Gnaisse,8,2,-13.3922222219999,-49.165833333
GCT234,3060037,Sedimento de corrente,Gnaisse,8,2,-13.448611111,-49.3016666669999
GCT235,3060038,Sedimento de corrente,Quartzito,8,2,-13.441944444,-49.3025
GCT236,3060039,Sedimento de corrente,Gnaisse,8,2,-13.401111111,-49.3011111109999
GCT237,3060043,Sedimento de corrente,Gnaisse,8,2,-13.3811111109999,-49.293333333
GCT238,3060044,Sedimento de corrente,Gnaisse,8,2,-13.418055556,-49.326388889
GCT239,3060063,Sedimento de corrente,Gnaisse,8,2,-13.4277777769999,-49.4444444439999
GCT240,3060064,Sedimento de corrente,Xisto,12,2,-13.4275,-49.4158333339999
GCT241,3060065,Sedimento de corrente,Xisto,12,2,-13.4213888889999,-49.394722223
GCT242,3060066,Sedimento de corrente,Xisto,12,2,-13.418611111,-49.4041666669999
GCT243,3060067,Sedimento de corrente,Xisto,12,2,-13.413055555,-49.3719444449999
GCT244,3060068,Sedimento de corrente,Quartzito,12,3,-13.412777778,-49.368611111
GCT245,3060069,Sedimento de corrente,Gnaisse,12,3,-13.390555556,-49.3472222219999
GCT246,3060070,Sedimento de corrente,Xisto,12,4,-13.395,-49.376111111
GCT249,3060072,Sedimento de corrente,Gnaisse,12,4,-13.411666667,-49.456944444
GCT250,3060073,Sedimento de corrente,Gnaisse,12,4,-13.400555555,-49.4602777779999
GCT251,3060074,Sedimento de corrente,Gnaisse,12,4,-13.383055556,-49.436388889
GCT252,3060075,Sedimento de corrente,Gnaisse,12,4,-13.3805555559999,-49.4949999999999
GCT253,3060076,Sedimento de corrente,Gnaisse,12,4,-13.376111111,-49.4955555559999
GCT254,3060077,Sedimento de corrente,Gnaisse,12,4,-13.3186111109999,-49.497222223
GCT255,3060078,Sedimento de corrente,Gnaisse,12,4,-13.311388889,-49.475555555
GCT256,3060079,Sedimento de corrente,Gnaisse,12,4,-13.311388889,-49.475555555
GCT257,3060080,Sedimento de corrente,Laterito,16,4,-13.287222222,-49.487777778
GCT258,3060081,Sedimento de corrente,Gnaisse,16,4,-13.256388889,-49.4688888889999
GCT259,3060082,Sedimento de corrente,Laterito,16,4,-13.281944445,-49.4566666659999
GCT260,3060083,Sedimento de corrente,Gnaisse,16,4,-13.2502777779999,-49.410277778
GCT261,3060084,Sedimento de corrente,Laterito,16,4,-13.260833334,-49.4144444439999
GCT262,3060085,Sedimento de corrente,Gnaisse,16,4,-13.292222223,-49.427777777
GCT263,3060086,Sedimento de corrente,Gnaisse,16,4,-13.305555556,-49.4224999999999
GCT264,3060087,Sedimento de corrente,Gnaisse,16,4,-13.311666667,-49.425555555
GCT265,3060088,Sedimento de corrente,Gnaisse,16,4,-13.351666667,-49.4272222219999
GCT266,3060089,Sedimento de corrente,Laterito,16,4,-13.375,-49.4186111109999
GCT267,3060090,Sedimento de corrente,Gnaisse,16,4,-13.385,-49.422222222
GCT269,3060092,Sedimento de corrente,Xisto,16,4,-13.3641666669999,-49.38
GCT270,3060093,Sedimento de corrente,Xisto,16,4,-13.33,-49.359722222
GCT271,3060094,Sedimento de corrente,Gnaisse,16,4,-13.341666666,-49.394444444
GCT272,3060095,Sedimento de corrente,Gnaisse,16,4,-13.339722222,-49.389722222
GCT273,3060096,Sedimento de corrente,Gnaisse,16,4,-13.322777778,-49.366111111
GCT274,3060097,Sedimento de corrente,Gnaisse,20,4,-13.288055556,-49.356388889
GCT275,3060098,Sedimento de corrente,Xisto,20,4,-13.301388889,-49.3422222219999
GCT276,3060099,Sedimento de corrente,Gnaisse,20,4,-13.269722222,-49.34
GCT277,3060100,Sedimento de corrente,Quartzito,20,4,-13.262777778,-49.330277778
GCT279,3060102,Sedimento de corrente,Gnaisse,20,4,-13.235833334,-49.3161111109999
GCT280,3060103,Sedimento de corrente,Gnaisse,20,4,-13.2794444449999,-49.274722222
GCT281,3060104,Sedimento de corrente,Gnaisse,20,4,-13.281111111,-49.2786111109999
GCT282,3060105,Sedimento de corrente,Gnaisse,20,4,-13.296111111,-49.280555556
GCT283,3060106,Sedimento de corrente,Gnaisse,20,4,-13.333055555,-49.3030555559999
GCT284,3060107,Sedimento de corrente,Gnaisse,20,4,-13.372777778,-49.3447222229999
