Estacao,N. Lab.,Long (X),Lat (Y),Laboratorio,Cod analise,Tipo de amostra,As (PPM),Bi (PPM)
AF-0001,CCG 526,-51.7415,-7.818125,Acme,ICP14B/1F04,Sed. Cor.,87.1,0.23
AF-0002,CCG 527,-51.6361,-7.818652,Acme,ICP14B/1F04,Sed. Cor.,8.2,0.3
AF-0003,CCG 528,-51.6022,-7.819025,Acme,ICP14B/1F04,Sed. Cor.,39.5,0.22
AF-0004,CCG 529,-50.863,-7.821782,Acme,ICP14B/1F04,Sed. Cor.,33.4,0.37
AF-0005,CCG 530,-50.7501,-7.822875,Acme,ICP14B/1F04,Sed. Cor.,34.2,0.46
AF-0006,CCG 531,-52.3999,-7.801296,Acme,ICP14B/1F04,Sed. Cor.,2.4,0.1
AF-0007,CCG 532,-51.3125,-7.800288,Acme,ICP14B/1F04,Sed. Cor.,1.7,0.11
AF-0008,CCG 533,-50.7123,-7.820764,Acme,ICP14B/1F04,Sed. Cor.,23.8,0.22
AF-0009,CCG 534,-50.7417,-7.822059,Acme,ICP14B/1F04,Sed. Cor.,19.3,0.18
AF-0010A,CCG 535,-50.0134,-7.818056,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.39
AF-0010B,CCH135,-50.0134,-7.818056,Acme,ICP14B/1F04,Sed. Cor.,0.5,0.37
AF-0011,CCG 536,-50.272,-7.820125,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.2
AF-0012,CCG 537,-50.3618,-7.819666,Acme,ICP14B/1F04,Sed. Cor.,2.4,0.61
AF-0013,CCG 538,-50.5361,-7.82277,Acme,ICP14B/1F04,Sed. Cor.,1.8,0.09
AF-0014,CCG 539,-50.303,-7.824113,Acme,ICP14B/1F04,Sed. Cor.,3.2,0.18
AF-0015,CCG 540,-50.1012,-7.83689,Acme,ICP14B/1F04,Sed. Cor.,23.1,0.22
AF-0016,CCG 541,-50.1977,-7.825832,Acme,ICP14B/1F04,Sed. Cor.,1.3,0.31
AF-0017,CCG 542,-50.1066,-7.833104,Acme,ICP14B/1F04,Sed. Cor.,24.7,0.62
AF-0018,CCG 543,-50.1754,-7.828976,Acme,ICP14B/1F04,Sed. Cor.,21.8,0.08
AF-0019,CCG 544,-50.3083,-7.825903,Acme,ICP14B/1F04,Sed. Cor.,49,0.18
AF-0020A,CCG 545,-50.7612,-7.825165,Acme,ICP14B/1F04,Sed. Cor.,21.2,0.47
AF-0020B,CCH136,-50.7612,-7.825165,Acme,ICP14B/1F04,Sed. Cor.,21.9,0.47
AF-0021,CCG 546,-50.7094,-7.83156,Acme,ICP14B/1F04,Sed. Cor.,22,0.47
AF-0022,CCG 547,-50.0955,-7.839289,Acme,ICP14B/1F04,Sed. Cor.,7.1,0.17
AF-0023,CCG 548,-51.5144,-7.818168,Acme,ICP14B/1F04,Sed. Cor.,178.5,0.43
AF-0024,CCG 549,-51.7401,-7.817122,Acme,ICP14B/1F04,Sed. Cor.,9,0.22
AF-0025,CCG 550,-51.2361,-7.815984,Acme,ICP14B/1F04,Sed. Cor.,10.5,0.21
AF-0026,CCG 551,-50.4692,-7.841155,Acme,ICP14B/1F04,Sed. Cor.,1.6,0.39
AF-0027,CCG 552,-50.4971,-7.838773,Acme,ICP14B/1F04,Sed. Cor.,24.4,0.37
AF-0028,CCG 553,-50.6134,-7.83634,Acme,ICP14B/1F04,Sed. Cor.,10.4,0.35
AF-0029,CCG 554,-51.0907,-7.829223,Acme,ICP14B/1F04,Sed. Cor.,32.5,0.53
AF-0030A,CCG 555,-51.2285,-7.828731,Acme,ICP14B/1F04,Sed. Cor.,21.4,0.42
AF-0030B,CCH137,-51.2285,-7.828731,Acme,ICP14B/1F04,Sed. Cor.,19.4,0.43
AF-0031,CCG 556,-50.9561,-7.834351,Acme,ICP14B/1F04,Sed. Cor.,17.1,0.4
AF-0032,CCG 557,-50.812,-7.831164,Acme,ICP14B/1F04,Sed. Cor.,12.1,0.39
AF-0033,CCG 558,-50.7505,-7.835048,Acme,ICP14B/1F04,Sed. Cor.,20.9,0.5
AF-0034,CCG 559,-50.4838,-7.838268,Acme,ICP14B/1F04,Sed. Cor.,34.3,0.33
AF-0035,CCG 560,-51.5151,-7.820194,Acme,ICP14B/1F04,Sed. Cor.,55,0.26
AF-0036,CCG 561,-51.556,-7.822887,Acme,ICP14B/1F04,Sed. Cor.,37.8,0.37
AF-0037,CCG 562,-51.586,-7.824081,Acme,ICP14B/1F04,Sed. Cor.,16,0.24
AF-0038,CCG 563,-51.6837,-7.830574,Acme,ICP14B/1F04,Sed. Cor.,4.7,0.29
AF-0039,CCG 564,-51.6106,-7.830927,Acme,ICP14B/1F04,Sed. Cor.,16.2,0.39
AF-0040A,CCG 565,-51.8686,-7.831583,Acme,ICP14B/1F04,Sed. Cor.,16.2,0.26
AF-0040B,CCH138,-51.8686,-7.831583,Acme,ICP14B/1F04,Sed. Cor.,14.9,0.27
AF-0041,CCG 566,-51.8646,-7.833205,Acme,ICP14B/1F04,Sed. Cor.,77.6,0.29
AF-0042,CCG 567,-51.9362,-7.830055,Acme,ICP14B/1F04,Sed. Cor.,10.8,0.3
AF-0043,CCG 568,-52.001,-7.830749,Acme,ICP14B/1F04,Sed. Cor.,16.9,0.26
AF-0044,CCG 569,-51.5579,-7.832715,Acme,ICP14B/1F04,Sed. Cor.,9.4,0.26
AF-0045,CCG 570,-52.0839,-7.81952,Acme,ICP14B/1F04,Sed. Cor.,51.1,0.32
AF-0046,CCG 571,-52.0619,-7.82094,Acme,ICP14B/1F04,Sed. Cor.,10.6,0.18
AF-0047,CCG 572,-52.0534,-7.821966,Acme,ICP14B/1F04,Sed. Cor.,14.4,0.21
AF-0048,CCG 573,-50.0636,-7.82992,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.35
AF-0049,CCG 574,-51.728,-7.834625,Acme,ICP14B/1F04,Sed. Cor.,11.9,0.18
AF-0050A,CCG 575,-51.6363,-7.835392,Acme,ICP14B/1F04,Sed. Cor.,21.6,0.32
AF-0050B,CCH139,-51.6363,-7.835392,Acme,ICP14B/1F04,Sed. Cor.,21,0.3
AF-0051,CCG 576,-51.3706,-7.837009,Acme,ICP14B/1F04,Sed. Cor.,16.6,0.35
AF-0052,CCG 577,-51.406,-7.839472,Acme,ICP14B/1F04,Sed. Cor.,18.7,0.26
AF-0053,CCG 578,-51.2447,-7.841222,Acme,ICP14B/1F04,Sed. Cor.,17.3,0.3
AF-0054,CCG 579,-51.0668,-7.842829,Acme,ICP14B/1F04,Sed. Cor.,9.4,0.29
AF-0055,CCG 580,-52.2969,-7.843915,Acme,ICP14B/1F04,Sed. Cor.,24,0.39
AF-0056,CCG 581,-51.3936,-7.841205,Acme,ICP14B/1F04,Sed. Cor.,23.6,0.27
AF-0057,CCG 582,-51.7396,-7.840917,Acme,ICP14B/1F04,Sed. Cor.,12.6,0.27
AF-0058,CCG 583,-52.1491,-7.839331,Acme,ICP14B/1F04,Sed. Cor.,22.5,0.2
AF-0059,CCG 584,-52.1479,-7.839204,Acme,ICP14B/1F04,Sed. Cor.,9.7,0.32
AF-0060A,CCG 585,-52.0875,-7.838571,Acme,ICP14B/1F04,Sed. Cor.,21.6,0.33
AF-0060B,CCH140,-52.0875,-7.838571,Acme,ICP14B/1F04,Sed. Cor.,18.6,0.3
AF-0061,CCG 586,-51.1342,-7.838628,Acme,ICP14B/1F04,Sed. Cor.,21.7,0.44
AF-0062,CCG 587,-52.1814,-7.832328,Acme,ICP14B/1F04,Sed. Cor.,4.4,0.25
AF-0063,CCG 588,-52.2608,-7.831467,Acme,ICP14B/1F04,Sed. Cor.,15.7,0.29
AF-0064,CCG 589,-52.3035,-7.830389,Acme,ICP14B/1F04,Sed. Cor.,8.7,0.39
AF-0065,CCG 590,-52.5631,-7.826628,Acme,ICP14B/1F04,Sed. Cor.,4.5,0.45
AF-0066,CCG 591,-52.4741,-7.827361,Acme,ICP14B/1F04,Sed. Cor.,16.6,0.49
AF-0067,CCG 592,-52.5833,-7.836822,Acme,ICP14B/1F04,Sed. Cor.,9.2,1.82
AF-0068,CCG 593,-52.4458,-7.829638,Acme,ICP14B/1F04,Sed. Cor.,4.7,0.28
AF-0069,CCG 594,-50.6046,-7.820959,Acme,ICP14B/1F04,Sed. Cor.,23.8,0.18
AF-0070A,CCG 595,-51.035,-7.819103,Acme,ICP14B/1F04,Sed. Cor.,70.3,0.12
AF-0070B,CCH141,-51.035,-7.819103,Acme,ICP14B/1F04,Sed. Cor.,65.4,0.11
AF-0071,CCG 596,-52.0067,-7.829011,Acme,ICP14B/1F04,Sed. Cor.,43.7,0.24
AF-0072,CCG 597,-51.9607,-7.829054,Acme,ICP14B/1F04,Sed. Cor.,13.2,0.28
AF-0073,CCG 598,-52.0871,-7.829597,Acme,ICP14B/1F04,Sed. Cor.,25.2,0.29
AF-0074,CCG 599,-52.1183,-7.829606,Acme,ICP14B/1F04,Sed. Cor.,41.9,0.33
AF-0075,CCG 600,-52.4968,-7.837233,Acme,ICP14B/1F04,Sed. Cor.,13.5,0.39
AF-0076,CCG 601,-52.6338,-7.835569,Acme,ICP14B/1F04,Sed. Cor.,4,0.32
AF-0077,CCG 602,-52.6026,-7.835462,Acme,ICP14B/1F04,Sed. Cor.,12.3,0.2
AF-0078,CCG 603,-52.7744,-7.815351,Acme,ICP14B/1F04,Sed. Cor.,19.9,0.25
AF-0079,CCG 604,-52.7471,-7.812703,Acme,ICP14B/1F04,Sed. Cor.,16.2,0.21
AF-0080A,CCG 605,-52.6928,-7.811905,Acme,ICP14B/1F04,Sed. Cor.,3.5,0.28
AF-0080B,CCH142,-52.6928,-7.811905,Acme,ICP14B/1F04,Sed. Cor.,3.5,0.36
AF-0081,CCG 606,-52.8521,-7.812066,Acme,ICP14B/1F04,Sed. Cor.,23.5,0.2
AF-0082,CCG 607,-52.9047,-7.811397,Acme,ICP14B/1F04,Sed. Cor.,2.5,0.58
AF-0083,CCG 608,-53.3605,-7.814645,Acme,ICP14B/1F04,Sed. Cor.,2.6,1.94
AF-0084,CCG 609,-53.305,-7.815279,Acme,ICP14B/1F04,Sed. Cor.,8.6,0.16
AF-0085,CCG 610,-53.5228,-7.811336,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.46
AF-0086,CCG 611,-53.7137,-7.810392,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.37
AF-0087,CCG 612,-53.6874,-7.808808,Acme,ICP14B/1F04,Sed. Cor.,8.7,1.23
AF-0088,CCG 613,-53.7618,-7.807948,Acme,ICP14B/1F04,Sed. Cor.,6.4,0.4
AF-0089,CCG 614,-53.8623,-7.807732,Acme,ICP14B/1F04,Sed. Cor.,8.1,0.88
AF-0090A,CCG 615,-53.946,-7.80799,Acme,ICP14B/1F04,Sed. Cor.,7.9,1.29
AF-0090B,CCH143,-53.946,-7.80799,Acme,ICP14B/1F04,Sed. Cor.,8.3,1.49
AF-0091,CCG 616,-53.7894,-7.813991,Acme,ICP14B/1F04,Sed. Cor.,8.2,0.25
AF-0092,CCG 617,-53.8279,-7.81285,Acme,ICP14B/1F04,Sed. Cor.,2,0.33
